x1,y1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
232,927
231.8886532,913.8019093
229,902
227.8165429,890.4489525
226,898
229,902
237,896
240.8472959,886.1042164
244.3764581,880.4017502
246.5482503,887.7334924
250,905
253,912
255.5068929,920.5905595
255,921
256.321315,921.4051976
256.592789,899.9530628
255,899
260,892
242.47614,870.6260939
240,854
234,824
234.6033934,817.9461681
244.3764581,824.4632723
262,865
261,845
260,829
258.7645811,796.0116649
251,759
251.1633086,737.8400955
249,717
251,683
254,615
255,594
258,573
254.1495228,558.2004242
252,540
250.3488865,509.7414479
253.8780488,480.0159067
252.7921527,447.0143198
263,376
257.678685,365.4538706
255.2354189,331.33572
255,290
255.2354189,260.4622116
257.6368159,221.2493766
257.9501591,194.4252386
257.135737,158.6324582
259,131
261,92
261,53
261.3979957,27.92808587
262.0222694,1
