x1,y1
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
237,988
237,961
235.6892895,931.1808539
232,898
231,880
231,860
230,844
228,837
225,835
227,835
235,835
238,821
241,805
241,803
245,825
250.9685864,832.8826918
253,838
256,856
256,850
257,817
255,810
256,803
245,718
237,668
238,651
238,655
241.8544503,693.2722513
243,718
244,707
244,680
245,659
246,620
244.8031414,612.0492147
249,591
250.1643979,574.6705944
253.3811518,519.5675393
255,495
255,480
254.721466,471.7075151
248.5560209,451.4795812
246.6096718,419.044905
247,394
249.3602094,369.5488348
253,348
255.7937173,316.458497
253.3811518,277.3110762
255,254
256,223
259,197
259.8146597,164.1162304
260,129
259,106
262.2272251,78.06806283
262.495288,54.74659686
262.495288,22.84712042
261.8281183,1.768439108
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
